path,sha256,reason,first_seen_commit,scanned_at
"src/core/__tests__/performance-benchmark.test.ts","78ea37692d3fb5a7d2b13a8e7de1ccbb05f1590f89d73bb9b51d9984caf2c098","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.173Z"
"src/core/__tests__/safety-gate-validation.ts","d974d4ada8ee9f57d472d68a884987e6ec9e3f877b4a3f8f3c94758e42338ab5","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.173Z"
"src/core/executive-steady-state-reporting.ts","1070342fcdb06fb29ae0dfe38d7d89d247f3bb7359b4b21d5e0ddfa907b723c9","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.181Z"
"src/core/latency-conditioned-metrics.ts","a47d7768d9d25593cc751e5c85f2452bd119892a37b1df85bbff6d7aaa5d554a","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.183Z"
"src/core/learned-reranker.ts","74737f1e423a88053a94b7803bc4bc6ba4be835e505c24453b4b75e3bfd2db0b","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.183Z"
"src/core/slice-roi-optimizer.ts","a65ad3470c92c844473df48fda51b69f52f6ab06e31b5b2d2f995b2239e69f0d","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.191Z"
"src/deployment/deployment-orchestrator.ts","dc9f33a9d15b1e6b283b7606878bb6a2cffafc624913f2ba7d4f5b5ba2a0848f","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.197Z"
"src/deployment/final-bench-system.ts","7d80086af04f646b3eab4f3b9b4436c35495ca75fae2bc98fc48454aef265f23","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.197Z"
"src/deployment/todo-complete-deployment-orchestrator.ts","7077d9471cd9edb34faa7497b22c73a6551e6306b263e9e4177e812acb7a1aa4","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.200Z"
"src/gemma-migration/migration-orchestrator.ts","7f62f34a415903292e7ef95590d9c8340b8331999f786c3051af67726f2227d4","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.201Z"
"src/raptor/benchmark-comparison.ts","6a767ce0fbbb0a8084f4c078a34447600b56341510027e779928cc6d4ee0c4a1","Content contains suspicious pattern: anchor.*smoke","TBD","2025-09-06T14:49:24.208Z"
"src/raptor/embedding-bakeoff.ts","f4ff950674578a9c81591a9b8bdb6bb56cf07c1a4325e0a2525cf841027cb0ce","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.209Z"
"src/raptor/embeddings.ts","7f4833d079a540de8db57d6530e0e357630c81ea8bed11c78533c2effbbcf67b","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.210Z"
"src/raptor/extractor.ts","562a04d1213aae2cc873a3d3151cd1d46f5d5880fb73803cfa07c9cb97f26ff9","Content contains suspicious pattern: "mock"","TBD","2025-09-06T14:49:24.210Z"
"src/raptor/production/final-production-promotion-orchestrator.ts","e472ea3236da8addec09c32066430955d003e458571d278fa8dc8596d66723df","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.217Z"
"src/raptor/production/paired-statistical-validation.ts","20ceb4ceeff0bca2fddec2bb79794c5f8bfb2a801ffb5061d485b87823b6acdd","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.217Z"
"src/raptor/production/production-orchestrator.ts","455d01946b39469fe1038ee756f4610fb71e08ef6a4a859fca1db71567d951f2","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.217Z"
"src/raptor/production/risk-spend-roi-system.ts","b84445c22fc92bc59aa333902de24802df4fd838e089975e94c859ac77ef076f","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.218Z"
"src/systems/adversarial-durability.ts","9bc71c53adde1acf0f0fe5ef26d026278eaba1a44ccf888f7b18c51307814651","Content contains suspicious pattern: synthetic.*data","TBD","2025-09-06T14:49:24.223Z"
"src/validation/counterfactual-replay.ts","03c57c30986edd9f7474a263c6d2c978e7c412a2d38f374b3a69a9f6d625cec5","Content contains suspicious pattern: generateMock","TBD","2025-09-06T14:49:24.226Z"
