run_id,suite,scenario,system,version,cfg_hash,corpus,lang,query_id,k,sla_ms,lat_ms,hit@k,ndcg@10,recall@50,success@10,ece,p50,p95,p99,sla_recall50,diversity10,core10,why_mix_semantic,why_mix_struct,why_mix_lex,memory_gb,qps150x
4cd9787d,protocol_v2_fast,structural_pattern,find,unknown,7c93afa8,swebench_sample,typescript,885c6c58,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,structural_pattern,opensearch,opensearch-2.11.0,707808d6,swebench_sample,python,46e67929,10,150,6.011349,1,0.39999999999999997,0.4,1,0,4.8090792,7.2136188,9.0170235,0.4,0.5,0.2,0.4,0.3,0.3,4,166
4cd9787d,protocol_v2_fast,structural_pattern,opensearch,opensearch-2.11.0,707808d6,swebench_sample,typescript,885c6c58,10,150,3.326484,1,0,0,0,0,2.6611872000000005,3.9917808,4.989726,0,0.5,0,0.4,0.3,0.3,4,300
4cd9787d,protocol_v2_fast,structural_pattern,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,python,46e67929,10,150,0.018825,0,0,0,0,0,0.015060000000000002,0.022590000000000002,0.028237500000000002,0,0,0,0.4,0.3,0.3,4,53120
4cd9787d,protocol_v2_fast,structural_pattern,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,typescript,885c6c58,10,150,0.010549,0,0,0,0,0,0.0084392,0.0126588,0.015823499999999997,0,0,0,0.4,0.3,0.3,4,94795
4cd9787d,protocol_v2_fast,structural_pattern,lens,lens-v2.0,759023b0,swebench_sample,python,46e67929,10,150,6.348338,0,0,0,0,0,5.0786704,7.6180056,9.522507000000001,0,0,0,0.4,0.3,0.3,4,157
4cd9787d,protocol_v2_fast,structural_pattern,lens,lens-v2.0,759023b0,swebench_sample,typescript,885c6c58,10,150,5.807378,0,0,0,0,0,4.6459024,6.9688536,8.711067,0,0,0,0.4,0.3,0.3,4,172
4cd9787d,protocol_v2_fast,nl_span,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,python,e5aa8058,10,150,6.368226,0,0,0,0,0,5.0945808,7.6418712,9.552339,0,0,0,0.4,0.3,0.3,4,157
4cd9787d,protocol_v2_fast,nl_span,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,typescript,afb5535a,10,150,5.272128,0,0,0,0,0,4.2177024,6.3265536,7.9081920000000006,0,0,0,0.4,0.3,0.3,4,189
4cd9787d,protocol_v2_fast,nl_span,grep,unknown,ce7b2437,swebench_sample,python,e5aa8058,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,nl_span,grep,unknown,ce7b2437,swebench_sample,typescript,afb5535a,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,nl_span,find,unknown,7c93afa8,swebench_sample,python,e5aa8058,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,nl_span,find,unknown,7c93afa8,swebench_sample,typescript,afb5535a,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,nl_span,opensearch,opensearch-2.11.0,707808d6,swebench_sample,python,e5aa8058,10,150,7.314745,1,0.25,0.25,1,0,5.851796,8.777694,10.9721175,0.25,0.4,0.1,0.4,0.3,0.3,4,136
4cd9787d,protocol_v2_fast,nl_span,opensearch,opensearch-2.11.0,707808d6,swebench_sample,typescript,afb5535a,10,150,3.737762,1,0,0,0,0,2.9902096,4.4853144,5.606643,0,0.1,0,0.4,0.3,0.3,4,267
4cd9787d,protocol_v2_fast,nl_span,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,python,e5aa8058,10,150,0.022372,0,0,0,0,0,0.0178976,0.0268464,0.033558,0,0,0,0.4,0.3,0.3,4,44698
4cd9787d,protocol_v2_fast,nl_span,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,typescript,afb5535a,10,150,0.011832,0,0,0,0,0,0.009465600000000001,0.0141984,0.017748,0,0,0,0.4,0.3,0.3,4,84516
4cd9787d,protocol_v2_fast,nl_span,lens,lens-v2.0,759023b0,swebench_sample,python,e5aa8058,10,150,5.855128,0,0,0,0,0,4.6841023999999996,7.0261536,8.782691999999999,0,0,0,0.4,0.3,0.3,4,170
4cd9787d,protocol_v2_fast,nl_span,lens,lens-v2.0,759023b0,swebench_sample,typescript,afb5535a,10,150,5.301233,0,0,0,0,0,4.2409864,6.3614796,7.9518495,0,0,0,0.4,0.3,0.3,4,188
4cd9787d,protocol_v2_fast,cross_repo,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,python,0fae07e7,10,150,5.80787,0,0,0,0,0,4.646296,6.969444,8.711805,0,0,0,0.4,0.3,0.3,4,172
4cd9787d,protocol_v2_fast,cross_repo,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,typescript,9ddb4f6d,10,150,5.762896,0,0,0,0,0,4.6103168,6.9154751999999995,8.644344,0,0,0,0.4,0.3,0.3,4,173
4cd9787d,protocol_v2_fast,cross_repo,grep,unknown,ce7b2437,swebench_sample,python,0fae07e7,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,cross_repo,grep,unknown,ce7b2437,swebench_sample,typescript,9ddb4f6d,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,cross_repo,find,unknown,7c93afa8,swebench_sample,python,0fae07e7,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,cross_repo,find,unknown,7c93afa8,swebench_sample,typescript,9ddb4f6d,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,cross_repo,opensearch,opensearch-2.11.0,707808d6,swebench_sample,python,0fae07e7,10,150,5.441847,1,0.85,0.5,1,0.5,4.353477600000001,6.5302164,8.1627705,0.5,0.2,0.2,0.4,0.3,0.3,4,183
4cd9787d,protocol_v2_fast,cross_repo,opensearch,opensearch-2.11.0,707808d6,swebench_sample,typescript,9ddb4f6d,10,150,4.001736,1,0,0,0,0,3.2013888,4.8020832,6.002604,0,0.1,0,0.4,0.3,0.3,4,249
4cd9787d,protocol_v2_fast,cross_repo,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,python,0fae07e7,10,150,0.016921,0,0,0,0,0,0.0135368,0.0203052,0.025381499999999998,0,0,0,0.4,0.3,0.3,4,59098
4cd9787d,protocol_v2_fast,cross_repo,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,typescript,9ddb4f6d,10,150,0.009458,0,0,0,0,0,0.0075664,0.0113496,0.014186999999999998,0,0,0,0.4,0.3,0.3,4,105730
4cd9787d,protocol_v2_fast,cross_repo,lens,lens-v2.0,759023b0,swebench_sample,python,0fae07e7,10,150,7.534717,0,0,0,0,0,6.0277736,9.0416604,11.302075499999999,0,0,0,0.4,0.3,0.3,4,132
4cd9787d,protocol_v2_fast,cross_repo,lens,lens-v2.0,759023b0,swebench_sample,typescript,9ddb4f6d,10,150,7.241068,0,0,0,0,0,5.7928544,8.6892816,10.861602000000001,0,0,0,0.4,0.3,0.3,4,138
4cd9787d,protocol_v2_fast,time_travel,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,python,54dac5af,10,150,5.264696,0,0,0,0,0,4.2117568,6.3176352,7.897043999999999,0,0,0,0.4,0.3,0.3,4,189
4cd9787d,protocol_v2_fast,time_travel,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,typescript,228c70bf,10,150,5.001193,0,0,0,0,0,4.0009544,6.001431599999999,7.501789499999999,0,0,0,0.4,0.3,0.3,4,199
4cd9787d,protocol_v2_fast,time_travel,grep,unknown,ce7b2437,swebench_sample,python,54dac5af,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,time_travel,grep,unknown,ce7b2437,swebench_sample,typescript,228c70bf,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,time_travel,find,unknown,7c93afa8,swebench_sample,python,54dac5af,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,time_travel,find,unknown,7c93afa8,swebench_sample,typescript,228c70bf,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,time_travel,opensearch,opensearch-2.11.0,707808d6,swebench_sample,python,54dac5af,10,150,5.292659,1,0,0,0,0,4.2341272,6.3511907999999995,7.938988499999999,0,0.1,0,0.4,0.3,0.3,4,188
4cd9787d,protocol_v2_fast,time_travel,opensearch,opensearch-2.11.0,707808d6,swebench_sample,typescript,228c70bf,10,150,2.24815,0,0,0,0,0,1.79852,2.69778,3.372225,0,0,0,0.4,0.3,0.3,4,444
4cd9787d,protocol_v2_fast,time_travel,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,python,54dac5af,10,150,0.016551,0,0,0,0,0,0.0132408,0.0198612,0.0248265,0,0,0,0.4,0.3,0.3,4,60419
4cd9787d,protocol_v2_fast,time_travel,qdrant,qdrant-1.7.0,d603e71a,swebench_sample,typescript,228c70bf,10,150,0.024536,0,0,0,0,0,0.019628800000000002,0.029443199999999996,0.036803999999999996,0,0,0,0.4,0.3,0.3,4,40756
4cd9787d,protocol_v2_fast,time_travel,lens,lens-v2.0,759023b0,swebench_sample,python,54dac5af,10,150,6.469217,0,0,0,0,0,5.1753736,7.7630604000000005,9.7038255,0,0,0,0.4,0.3,0.3,4,154
4cd9787d,protocol_v2_fast,time_travel,lens,lens-v2.0,759023b0,swebench_sample,typescript,228c70bf,10,150,5.118353,0,0,0,0,0,4.0946824,6.1420236,7.6775295,0,0,0,0.4,0.3,0.3,4,195
4cd9787d,protocol_v2_fast,clone_heavy,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,python,24f1b0a7,10,150,4.657832,0,0,0,0,0,3.7262656,5.589398399999999,6.986748,0,0,0,0.4,0.3,0.3,4,214
4cd9787d,protocol_v2_fast,clone_heavy,ripgrep,ripgrep-14.0.0,2fa9493b,swebench_sample,typescript,10faae55,10,150,5.310712,0,0,0,0,0,4.2485696,6.3728544,7.966068,0,0,0,0.4,0.3,0.3,4,188
4cd9787d,protocol_v2_fast,clone_heavy,grep,unknown,ce7b2437,swebench_sample,python,24f1b0a7,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,clone_heavy,grep,unknown,ce7b2437,swebench_sample,typescript,10faae55,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,clone_heavy,find,unknown,7c93afa8,swebench_sample,python,24f1b0a7,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
4cd9787d,protocol_v2_fast,clone_heavy,find,unknown,7c93afa8,swebench_sample,typescript,10faae55,10,150,5000,0,0,0,0,1,5000,5000,5000,0,0,0,0,0,0,4,0
